87,Starlink 2,2020,2020-01-07T02:19:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
88,Crew Dragon In Flight Abort Test,2020,2020-01-19T14:00:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
89,Starlink 3,2020,2020-01-29T14:06:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
90,Starlink 4,2020,2020-02-17T15:05:55.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
91,CRS-20,2020,2020-03-07T04:50:31.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
92,Starlink 5,2020,2020-03-18T12:16:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
93,Starlink 6,2020,2020-04-22T19:30:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
94,CCtCap Demo Mission 2,2020,2020-05-30T19:22:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
95,Starlink 7,2020,2020-06-04T01:25:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
96,Starlink-8 & SkySat 16-18,2020,2020-06-13T09:21:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
97,GPS III SV03 (Columbus),2020,2020-06-30T19:55:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
98,ANASIS-II,2020,2020-07-20T21:30:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
99,Starlink-9 (v1.0) & BlackSky Global 5-6,2020,2020-08-07T05:12:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
100,Starlink-10 (v1.0) & SkySat 19-21,2020,2020-08-18T14:31:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
101,"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020,2020-08-30T23:18:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
102,Starlink-11 (v1.0),2020,2020-09-03T12:46:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
103,Starlink-12 (v1.0),2020,2020-10-06T11:29:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,,
104,Starlink-13 (v1.0),2020,2020-10-18T12:25:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
105,Starlink-14 (v1.0),2020,2020-10-24T15:31:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
106,GPS III SV04 (Sacagawea),2020,2020-11-05T23:24:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
107,Crew-1,2020,2020-11-16T00:27:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
108,Sentinel-6 Michael Freilich,2020,2020-11-21T17:17:00.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
109,Starlink-15 (v1.0),2020,2020-10-24T15:31:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
