13,Thaicom 6,2014,2014-01-06T18:06:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
14,CRS-3,2014,2014-04-18T19:25:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
15,OG-2 Mission 1,2014,2014-07-14T15:15:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
16,AsiaSat 8,2014,2014-08-05T08:00:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
17,AsiaSat 6,2014,2014-09-07T05:00:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
18,CRS-4,2014,2014-09-21T05:52:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
