10,CRS-2,2013,2013-03-01T19:10:00.000Z,falcon9,Falcon 9,v1.0,Cape Canaveral Air Force Station Space Launch Complex 40,True,
11,CASSIOPE,2013,2013-09-29T16:00:00.000Z,falcon9,Falcon 9,v1.1,Vandenberg Air Force Base Space Launch Complex 4E,True,
12,SES-8,2013,2013-12-03T22:41:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
