19,CRS-5,2015,2015-01-10T09:47:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
20,DSCOVR,2015,2015-02-11T23:03:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
21,ABS-3A / Eutelsat 115W B,2015,2015-03-02T03:50:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
22,CRS-6,2015,2015-04-14T20:10:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
23,TürkmenÄlem 52°E / MonacoSAT,2015,2015-04-27T23:03:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,True,
24,CRS-7,2015,2015-06-28T14:21:00.000Z,falcon9,Falcon 9,v1.1,Cape Canaveral Air Force Station Space Launch Complex 40,False,helium tank overpressure lead to the second stage LOX tank explosion
25,OG-2 Mission 2,2015,2015-12-22T01:29:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
