6,Falcon 9 Test Flight,2010,2010-06-04T18:45:00.000Z,falcon9,Falcon 9,v1.0,Cape Canaveral Air Force Station Space Launch Complex 40,True,
7,COTS 1,2010,2010-12-08T15:43:00.000Z,falcon9,Falcon 9,v1.0,Cape Canaveral Air Force Station Space Launch Complex 40,True,
